"CustomerID","AddressID","AddressType","ModifiedDate","Counter"
105029860,105000668,"Main Office","2017-09-28 18:32:52.0240000","1"
105029861,105000628,"Main Office","2017-09-28 18:32:52.0240000","1"
105029862,105001096,"Main Office","2017-09-28 18:32:52.0240000","1"
105029863,105000546,"Main Office","2017-09-28 18:32:52.0240000","1"
105029864,105000487,"Main Office","2017-09-28 18:32:52.0240000","1"
105029865,105001032,"Main Office","2017-09-28 18:32:52.0240000","1"
105029866,105000588,"Main Office","2017-09-28 18:32:52.0240000","1"
105029867,105000860,"Main Office","2017-09-28 18:32:52.0240000","1"
105029868,105000648,"Main Office","2017-09-28 18:32:52.0240000","1"
105029870,105000484,"Main Office","2017-09-28 18:32:52.0240000","1"
105029871,105001029,"Main Office","2017-09-28 18:32:52.0240000","1"
105029872,105000586,"Main Office","2017-09-28 18:32:52.0240000","1"
105029873,105000858,"Main Office","2017-09-28 18:32:52.0240000","1"
105029874,105000647,"Main Office","2017-09-28 18:32:52.0240000","1"
105029876,105000481,"Main Office","2017-09-28 18:32:52.0240000","1"
105029877,105001026,"Main Office","2017-09-28 18:32:52.0240000","1"
105029879,105000515,"Main Office","2017-09-28 18:32:52.0240000","1"
105029881,105000483,"Main Office","2017-09-28 18:32:52.0240000","1"
105029883,105001025,"Main Office","2017-09-28 18:32:52.0240000","1"
105029884,105000583,"Main Office","2017-09-28 18:32:52.0240000","1"
105029885,105000857,"Main Office","2017-09-28 18:32:52.0240000","1"
105029889,105001021,"Main Office","2017-09-28 18:32:52.0240000","1"
105029890,105000855,"Main Office","2017-09-28 18:32:52.0240000","1"
105029891,105000775,"Main Office","2017-09-28 18:32:52.0240000","1"
105029892,105000476,"Main Office","2017-09-28 18:32:52.0240000","1"
105029893,105001018,"Main Office","2017-09-28 18:32:52.0240000","1"
105029895,105000524,"Main Office","2017-09-28 18:32:52.0240000","1"
105029897,105001066,"Main Office","2017-09-28 18:32:52.0240000","1"
105029898,105000876,"Main Office","2017-09-28 18:32:52.0240000","1"
105029900,105000508,"Main Office","2017-09-28 18:32:52.0240000","1"
105029901,105001053,"Main Office","2017-09-28 18:32:52.0240000","1"
105029902,105000602,"Main Office","2017-09-28 18:32:52.0240000","1"
105029903,105000874,"Main Office","2017-09-28 18:32:52.0240000","1"
105029904,105000655,"Main Office","2017-09-28 18:32:52.0240000","1"
105029905,105000505,"Main Office","2017-09-28 18:32:52.0240000","1"
105029906,105000600,"Main Office","2017-09-28 18:32:52.0240000","1"
105029907,105000872,"Main Office","2017-09-28 18:32:52.0240000","1"
105029908,105000654,"Main Office","2017-09-28 18:32:52.0240000","1"
105029910,105000502,"Main Office","2017-09-28 18:32:52.0240000","1"
105029911,105000538,"Main Office","2017-09-28 18:32:52.0240000","1"
105029913,105001080,"Main Office","2017-09-28 18:32:52.0240000","1"
105029914,105001079,"Main Office","2017-09-28 18:32:52.0240000","1"
105029915,105000891,"Main Office","2017-09-28 18:32:52.0240000","1"
105029918,105000460,"Main Office","2017-09-28 18:32:52.0240000","1"
105029919,105001005,"Main Office","2017-09-28 18:32:52.0240000","1"
105029920,105000570,"Main Office","2017-09-28 18:32:52.0240000","1"
105029921,105000842,"Main Office","2017-09-28 18:32:52.0240000","1"
105029922,105000639,"Main Office","2017-09-28 18:32:52.0240000","1"
105029924,105001002,"Main Office","2017-09-28 18:32:52.0240000","1"
105029925,105000840,"Main Office","2017-09-28 18:32:52.0240000","1"
105029926,105000638,"Main Office","2017-09-28 18:32:52.0240000","1"
105029928,105000454,"Main Office","2017-09-28 18:32:52.0240000","1"
105029929,105000999,"Main Office","2017-09-28 18:32:52.0240000","1"
105029930,105000566,"Main Office","2017-09-28 18:32:52.0240000","1"
105029931,105000838,"Main Office","2017-09-28 18:32:52.0240000","1"
105029932,105000637,"Main Office","2017-09-28 18:32:52.0240000","1"
105029934,105000451,"Main Office","2017-09-28 18:32:52.0240000","1"
105029935,105000996,"Main Office","2017-09-28 18:32:52.0240000","1"
105029936,105000852,"Main Office","2017-09-28 18:32:52.0240000","1"
105029937,105000580,"Main Office","2017-09-28 18:32:52.0240000","1"
105029938,105001020,"Main Office","2017-09-28 18:32:52.0240000","1"
105029939,105000475,"Main Office","2017-09-28 18:32:52.0240000","1"
105029941,105000645,"Main Office","2017-09-28 18:32:52.0240000","1"
105029942,105000854,"Main Office","2017-09-28 18:32:52.0240000","1"
105029943,105000582,"Main Office","2017-09-28 18:32:52.0240000","1"
105029944,105001004,"Main Office","2017-09-28 18:32:52.0240000","1"
105029946,105000462,"Main Office","2017-09-28 18:32:52.0240000","1"
105029948,105000572,"Main Office","2017-09-28 18:32:52.0240000","1"
105029949,105001008,"Main Office","2017-09-28 18:32:52.0240000","1"
105029950,105000463,"Main Office","2017-09-28 18:32:52.0240000","1"
105029952,105000641,"Main Office","2017-09-28 18:32:52.0240000","1"
105029953,105000846,"Main Office","2017-09-28 18:32:52.0240000","1"
105029954,105000574,"Main Office","2017-09-28 18:32:52.0240000","1"
105029955,105000756,"Main Office","2017-09-28 18:32:52.0240000","1"
105029956,105000561,"Main Office","2017-09-28 18:32:52.0240000","1"
105029957,105000992,"Main Office","2017-09-28 18:32:52.0240000","1"
105029959,105000450,"Main Office","2017-09-28 18:32:52.0240000","1"
105029962,105000563,"Main Office","2017-09-28 18:32:52.0240000","1"
105029964,105000453,"Main Office","2017-09-28 18:32:52.0240000","1"
105029967,105000565,"Main Office","2017-09-28 18:32:52.0240000","1"
105029969,105000548,"Main Office","2017-09-28 18:32:52.0240000","1"
105029971,105000549,"Main Office","2017-09-28 18:32:52.0240000","1"
105029973,105000825,"Main Office","2017-09-28 18:32:52.0240000","1"
105029974,105000629,"Main Office","2017-09-28 18:32:52.0240000","1"
105029975,105001098,"Main Office","2017-09-28 18:32:52.0240000","1"
105029978,105000671,"Main Office","2017-09-28 18:32:52.0240000","1"
105029980,105000672,"Main Office","2017-09-28 18:32:52.0240000","1"
105029981,105000904,"Main Office","2017-09-28 18:32:52.0240000","1"
105029982,105001102,"Main Office","2017-09-28 18:32:52.0240000","1"
105029983,105000554,"Main Office","2017-09-28 18:32:52.0240000","1"
105029985,105000673,"Main Office","2017-09-28 18:32:52.0240000","1"
105029987,105001023,"Main Office","2017-09-28 18:32:52.0240000","1"
105029988,105000478,"Main Office","2017-09-28 18:32:52.0240000","1"
105029990,105000646,"Main Office","2017-09-28 18:32:52.0240000","1"
105029991,105000856,"Main Office","2017-09-28 18:32:52.0240000","1"
105029992,105001024,"Main Office","2017-09-28 18:32:52.0240000","1"
105029994,105000482,"Main Office","2017-09-28 18:32:52.0240000","1"
105029997,105000859,"Main Office","2017-09-28 18:32:52.0240000","1"
105029998,105001027,"Main Office","2017-09-28 18:32:52.0240000","1"
105030000,105000485,"Main Office","2017-09-28 18:32:52.0240000","1"
105030003,105000620,"Main Office","2017-09-28 18:32:52.0240000","1"
105030004,105000892,"Main Office","2017-09-28 18:32:52.0240000","1"
105030005,105000665,"Main Office","2017-09-28 18:32:52.0240000","1"
